group_id,Premise,Hypothesis,label
0,"নববর্ষের উৎসবে কয়েকজন মিলে হাতে ঢোল গলায় ঝুলিয়ে, মুখোশ হাতে নিয়ে আনন্দ মিছিল করছে।",আজ নববর্ষের আয়োজন হচ্ছে,Entailment
0,"নববর্ষের উৎসবে কয়েকজন মিলে হাতে ঢোল গলায় ঝুলিয়ে, মুখোশ হাতে নিয়ে আনন্দ মিছিল করছে।",চার পাশে অনেক মেলা হচ্ছে,Neutral
0,"নববর্ষের উৎসবে কয়েকজন মিলে হাতে ঢোল গলায় ঝুলিয়ে, মুখোশ হাতে নিয়ে আনন্দ মিছিল করছে।",কোন শব্দ হচ্ছে না,Contradiction
1,সামনে দুইজন মানুষ ঢোল বাজাচ্ছে। পিছনে অনেকগুলো মানুষ আছে।,অনেক শব্দ হচ্ছে,Entailment
1,সামনে দুইজন মানুষ ঢোল বাজাচ্ছে। পিছনে অনেকগুলো মানুষ আছে।,আজ একটি অনুষ্ঠান হচ্ছে,Neutral
1,সামনে দুইজন মানুষ ঢোল বাজাচ্ছে। পিছনে অনেকগুলো মানুষ আছে।,কোন আওআজ হচ্ছে না,Contradiction
2,"মাটিতে আল্পনা আঁকা তার মধ্যে একটা লোক সঙ সেজে, মাথায় টুপি পড়ে, কাঁধে ঝুড়ি নিয়ে হেঁটে যাচ্ছে।",কেও একজন মাটিতে আল্পনা করেছে,Entailment
2,"মাটিতে আল্পনা আঁকা তার মধ্যে একটা লোক সঙ সেজে, মাথায় টুপি পড়ে, কাঁধে ঝুড়ি নিয়ে হেঁটে যাচ্ছে।",বাচ্চারা আল্পনা দেখতে এসেছে,Neutral
2,"মাটিতে আল্পনা আঁকা তার মধ্যে একটা লোক সঙ সেজে, মাথায় টুপি পড়ে, কাঁধে ঝুড়ি নিয়ে হেঁটে যাচ্ছে।",মাটিতে বাংলাদেশের পতাকার আল্পনা,Contradiction
3,একজন মানুষ পিঠে কিছু নিয়ে রাস্তা দিয়ে হেঁটে যাচ্ছে।,এখানে হাটার যায়গা আছে,Entailment
3,একজন মানুষ পিঠে কিছু নিয়ে রাস্তা দিয়ে হেঁটে যাচ্ছে।,একজন মানুষ কাপড় পিঠে নিয়ে যাচ্ছে,Neutral
